timestamp,tps,rows_s,lat_99
70,17991.42,17991.42,7.04
80,17968.76,17968.76,9.39
90,18011.87,18011.87,5.37
100,18034.86,18034.86,5.47
110,18045.46,18045.46,5.57
120,18018.37,18018.37,5.37
130,17984.56,17984.56,5.28
140,17965.31,17965.31,5.57
150,18047.39,18047.39,5.99
160,18015.68,18015.68,5.37
170,17962.25,17962.25,5.77
180,17951.14,17951.14,5.47
190,17908.89,17908.89,5.77
200,17936.69,17936.69,5.37
210,18007.21,18007.21,5.37
220,18066.78,18066.78,5.99
230,17924.15,17924.15,5.57
240,18045.41,18045.41,5.99
250,17973.39,17973.39,5.47
260,17974.82,17974.82,5.37
270,17975.01,17975.01,5.37
280,18054.53,18054.53,5.67
290,18001.18,18001.18,5.37
300,17996.94,17996.94,6.21
310,17938.90,17938.90,6.21
320,17902.64,17902.64,5.47
330,18030.42,18030.42,5.77
340,17992.70,17992.70,5.37
350,17978.16,17978.16,5.47
360,18074.40,18074.40,6.21
370,17892.91,17892.91,5.37
380,18004.69,18004.69,5.37
390,18002.00,18002.00,5.47
400,17958.57,17958.57,5.37
410,17907.11,17907.11,5.37
420,18004.34,18004.34,5.88
430,18033.69,18033.69,5.28
440,17954.90,17954.90,5.47
450,18005.40,18005.40,5.67
460,17967.61,17967.61,5.28
470,18043.48,18043.48,5.57
480,18112.28,18112.28,5.77
490,17893.16,17893.16,5.37
500,17936.94,17936.94,5.28
510,17976.24,17976.24,5.57
520,18031.43,18031.43,5.37
530,17988.75,17988.75,35.59
540,18014.71,18014.71,5.18
550,18005.73,18005.73,5.28
560,17970.68,17970.68,5.47
570,18063.68,18063.68,5.37
580,17944.22,17944.22,5.67
590,17999.20,17999.20,7.43
600,17916.69,17916.69,5.28
610,18055.18,18055.18,5.47
620,17980.12,17980.12,5.37
630,18058.47,18058.47,5.28
640,18009.35,18009.35,5.67
650,17976.05,17976.05,9.73
660,18024.40,18024.40,5.77
